amenities_id,amenities_description,amenities_score
431,"['Dryer', 'Heating', 'Internet', 'Washer', 'Wireless Internet']",31
432,"['Dryer', 'Heating', 'Shampoo', 'Washer', 'Wireless Internet']",30
433,"['Dryer', 'Heating', 'TV', 'Washer', 'Wireless Internet']",29
434,"['Dryer', 'Heating', 'Internet', 'Shampoo', 'Wireless Internet']",29
435,"['Dryer', 'Heating', 'Internet', 'TV', 'Wireless Internet']",28
436,"['Dryer', 'Heating', 'Shampoo', 'TV', 'Wireless Internet']",27
437,"['Heating', 'Internet', 'Shampoo', 'Washer', 'Wireless Internet']",28
438,"['Heating', 'Internet', 'TV', 'Washer', 'Wireless Internet']",27
439,"['Heating', 'Shampoo', 'TV', 'Washer', 'Wireless Internet']",26
440,"['Heating', 'Internet', 'Shampoo', 'TV', 'Wireless Internet']",25
441,"['Dryer', 'Essentials', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",36
442,"['Essentials', 'Kitchen', 'Smoke Detector', 'Washer', 'Wireless Internet']",35
